ERO-LESA Statistical Tracking Unit,,,,,,
For Official Use Only (FOUO)/Pre-decisional,,,,,,
UW v. DHS - ICE Productions,,,,,,
Please review the last tab for footnotes.,,,,,,
,,,,,,
FY2012 - FY2019 YTD (01/01/2012 - 07/06/2019) ICE Expedited Removals for the Seattle Area of Responsibility,,,,,,
Departed Date,Date of Birth,Gender,Country of Citizenship,Event Number,Most Serious Conviction,Case Category
1/3/2012,"(b)(6),(b)(7)(c )",Male,FRANCE,(b)(7)(E ),,[8F] Expedited Removal
1/5/2012,"(b)(6),(b)(7)(c )",Female,EL SALVADOR,(b)(7)(E ),,[8G] Expedited Removal - Credible Fear Referral
1/6/2012,"(b)(6),(b)(7)(c )",Female,BELIZE,(b)(7)(E ),,[8F] Expedited Removal
1/11/2012,"(b)(6),(b)(7)(c )",Female,EL SALVADOR,(b)(7)(E ),,[8G] Expedited Removal - Credible Fear Referral
1/11/2012,"(b)(6),(b)(7)(c )",Female,EL SALVADOR,(b)(7)(E ),,[8F] Expedited Removal
1/12/2012,"(b)(6),(b)(7)(c )",Female,HONDURAS,(b)(7)(E ),,[8G] Expedited Removal - Credible Fear Referral
1/12/2012,"(b)(6),(b)(7)(c )",Male,THAILAND,(b)(7)(E ),,[8F] Expedited Removal
1/12/2012,"(b)(6),(b)(7)(c )",Female,HONDURAS,(b)(7)(E ),,[8F] Expedited Removal
1/21/2012,"(b)(6),(b)(7)(c )",Female,MEXICO,(b)(7)(E ),,[8F] Expedited Removal
1/25/2012,"(b)(6),(b)(7)(c )",Female,KOREA,(b)(7)(E ),,[8F] Expedited Removal
1/26/2012,"(b)(6),(b)(7)(c )",Female,INDIA,(b)(7)(E ),,[8G] Expedited Removal - Credible Fear Referral
1/28/2012,"(b)(6),(b)(7)(c )",Male,MEXICO,(b)(7)(E ),,[8G] Expedited Removal - Credible Fear Referral
1/31/2012,"(b)(6),(b)(7)(c )",Male,MOLDOVA,(b)(7)(E ),,[8G] Expedited Removal - Credible Fear Referral
2/2/2012,"(b)(6),(b)(7)(c )",Male,DENMARK,(b)(7)(E ),,[8F] Expedited Removal
